"Site.Number","Collection.Method","Latitude","Longitude","Anthocharis_sara","Agraulis_vanillae","Brephidium_exilis","Colias_eurytheme","Danaus_gilippus","Danaus_plexippus","Erynnis_funeralis","Heliopetes_ericetorum","Hylephila_phyleus","Junonia_coenia","Leptotes_marina","Lerodea_eufala","Nymphalis_antiopa","Nathalis_iole","Ochlodes_sylvanoides","Plebejus_acmon","Pyrgus_albescens","Papilio_cresphontes","Papilio_eurymedon","Papilio_zelicaon","Phoebis_sennae","Pieris_rapae","Poanes_melane","Pontia_protodice","Papilio_rutulus","Strymon_melinus","Vanessa_annabella","Vanessa_atalanta","Vanessa_cardui"
4,"Malaise",34.118,-118.284,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5,"Malaise",34.093,-118.274,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
7,"Malaise",34.102,-118.257,0,6,0,0,0,0,5,4,2,0,16,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1
9,"Malaise",34.103,-118.243,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
13,"Malaise",34.149,-118.218,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,"Malaise",34.078,-118.234,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,6,3,0,0,3,0,0,0
15,"Malaise",33.876,-118.288,0,0,0,0,0,0,0,0,7,0,1,3,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0
17,"Malaise",34.159,-118.247,0,0,0,0,0,3,3,0,3,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1
18,"Malaise",34.077,-118.32,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0
19,"Malaise",34.059,-118.369,0,1,0,0,0,2,1,0,7,0,1,1,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0
22,"Malaise",34.074,-118.264,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,1,0
23,"Malaise",34.114,-118.251,0,0,0,0,0,1,1,0,2,0,0,5,0,0,0,0,0,0,0,0,0,9,1,0,0,1,1,2,1
27,"Malaise",34.111,-118.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
28,"Malaise",34.129,-118.215,0,0,0,0,0,2,0,0,0,0,8,11,0,0,0,0,0,1,0,1,0,5,0,1,0,1,1,0,0
30,"Malaise",34.125,-118.189,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0
31,"Malaise",34.075,-118.328,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,21,3,6,0,0,0,0,0,0
4,"Pollard Walk",34.118,-118.284,0,2,0,10,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,1,7,17,0,0,0,0,0,0,5
5,"Pollard Walk",34.093,-118.274,0,2,0,1,0,17,0,0,18,0,33,1,0,0,0,0,0,0,0,4,7,48,3,1,0,0,1,1,0
7,"Pollard Walk",34.102,-118.257,0,2,0,1,0,5,0,0,3,0,0,2,1,0,0,0,0,0,0,1,1,17,0,0,0,2,2,2,2
9,"Pollard Walk",34.103,-118.243,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,20,0,0,4,0,0,0,1
13,"Pollard Walk",34.149,-118.218,0,6,0,0,0,6,0,0,7,0,0,1,4,0,0,2,0,0,0,1,21,35,0,0,5,0,0,1,1
14,"Pollard Walk",34.078,-118.234,0,9,0,0,0,2,10,6,32,0,70,7,0,0,0,0,0,0,0,0,0,118,0,0,1,1,0,7,5
15,"Pollard Walk",33.876,-118.288,0,9,0,0,0,2,12,0,15,0,0,0,0,0,25,0,0,0,0,0,12,13,0,0,5,5,0,0,22
17,"Pollard Walk",34.159,-118.247,0,0,0,3,0,4,0,0,13,1,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,6
18,"Pollard Walk",34.077,-118.32,0,76,0,0,1,16,2,0,71,0,6,10,2,1,0,0,0,0,0,0,43,76,3,0,15,1,0,1,2
19,"Pollard Walk",34.059,-118.369,0,3,0,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,7,11,0,0,1,0,0,0,0
22,"Pollard Walk",34.074,-118.264,0,26,0,2,0,1,6,0,19,0,112,2,1,0,0,1,0,3,0,0,4,49,5,0,4,2,2,8,2
23,"Pollard Walk",34.114,-118.251,0,5,0,0,0,5,3,0,8,0,7,5,0,0,0,0,0,4,0,0,7,21,0,0,1,0,0,1,2
27,"Pollard Walk",34.111,-118.23,0,20,0,15,0,9,6,0,15,0,51,2,0,0,0,0,1,0,0,4,0,31,0,0,1,0,0,2,2
28,"Pollard Walk",34.129,-118.215,0,3,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,0,0,0,0,0,0,5
30,"Pollard Walk",34.125,-118.189,0,37,0,0,0,2,7,0,11,0,55,7,0,0,0,0,0,1,0,5,19,60,4,0,0,10,2,0,9
31,"Pollard Walk",34.075,-118.328,0,11,0,0,0,0,8,0,10,0,8,0,1,0,0,0,0,0,4,0,12,56,0,0,15,2,0,0,0
